iter	Passed	Remaining
0	1	165
1	3	154
2	4	149
3	5	139
4	7	137
5	8	136
6	10	135
7	11	133
8	13	131
9	14	130
10	15	129
11	17	127
12	18	126
13	20	124
14	21	123
15	23	122
16	24	120
17	26	119
18	27	117
19	29	116
20	30	114
21	31	113
22	33	111
23	34	110
24	36	108
25	37	107
26	39	105
27	40	104
28	42	103
29	43	101
30	45	100
31	46	98
32	47	97
33	49	95
34	50	94
35	52	93
36	53	91
37	55	89
38	56	88
39	57	86
40	59	85
41	60	82
42	61	81
43	62	80
44	64	78
45	65	77
46	67	76
47	69	74
48	70	73
49	71	71
50	73	70
51	74	69
52	76	67
53	77	66
54	78	64
55	80	63
56	81	61
57	83	60
58	84	58
59	86	57
60	87	56
61	89	54
62	91	53
63	92	52
64	94	50
65	95	49
66	97	47
67	98	46
68	100	45
69	101	43
70	103	42
71	105	40
72	106	39
73	108	38
74	109	36
75	111	35
76	112	33
77	114	32
78	116	30
79	118	29
80	119	28
81	120	26
82	122	25
83	124	23
84	125	22
85	127	20
86	128	19
87	130	17
88	132	16
89	133	14
90	134	13
91	136	11
92	138	10
93	140	8
94	141	7
95	143	5
96	144	4
97	146	2
98	147	1
99	149	0
